post_id,timestamp,content,likes,retweets,replies,risk_level,Sentiment
1907753011637592104,2025-04-03 11:12:16+00:00,another poor man beaten raj thackerays goons speaking marathi time bank employee morons hid,0,1302,0,High-Risk,Negative
1907753010643804454,2025-04-03 11:12:16+00:00,mental health absolutely testing,0,666,0,Low Concern,Neutral
1907753009184125288,2025-04-03 11:12:16+00:00,mental health great ima strong christian loving family feminism given freedom opportunity else would need,0,0,0,Low Concern,Positive
1907753006021439540,2025-04-03 11:12:15+00:00,cannot stress enough came 5th,0,7817,0,Low Concern,Positive
1907753004612153744,2025-04-03 11:12:15+00:00,meek helpless spineless response indian govt tariff decision threatens devastate variou,0,74,0,High-Risk,Negative
1907753001810284898,2025-04-03 11:12:14+00:00,overwhelmed tasks ai help automate routine work streamline productivity focus truly matters captep adapts workflow smart automation seamless communication datadriven insights read,0,0,0,Moderate Concern,Positive
1907753000816333291,2025-04-03 11:12:14+00:00,cant stress enough men men women women denying reality true definition ignorance,0,0,0,Low Concern,Positive
1907753000782766323,2025-04-03 11:12:14+00:00,thoughts epidemic loneliness anxiety collated together structured manner memory meaning,0,19,0,Low Concern,Negative
1907752990280171651,2025-04-03 11:12:11+00:00,america help police officer doubt mental health issues,0,107,0,Low Concern,Positive
1907752989844033768,2025-04-03 11:12:11+00:00,kanye west confirms wife bianca censori left panic attack disturbing rants new song ran away,0,0,0,Moderate Concern,Negative
1907752989260939665,2025-04-03 11:12:11+00:00,cannot stress enough fifth best woman country 462nd best man,0,228,0,Low Concern,Positive
1907752988925374712,2025-04-03 11:12:11+00:00,headlines reuters world news daily podcast us senate passes bill aimed stopping trump tariffs canada,0,6,0,Moderate Concern,Negative
1907752987159642301,2025-04-03 11:12:11+00:00,47 yearold dr alhajjar lived rusholme manchester family earned phd mental health nursing,0,184,0,Low Concern,Neutral
1907752986547232882,2025-04-03 11:12:10+00:00,nothing stress like failing,0,1,0,Low Concern,Positive
1907752984936640658,2025-04-03 11:12:10+00:00,breaking investigating members congress got rich somewhere dc nancy pelosis,0,105,0,Moderate Concern,Positive
1907752984626254087,2025-04-03 11:12:10+00:00,cannot stress enough alarming anyone cares due process rule law sho,0,1347,0,Low Concern,Positive
1907752982806159378,2025-04-03 11:12:10+00:00,simplicity reduces stress泉州乐山绵阳大同南宁台州安全放心进店面选清茶 扣817619402 威ynye68,0,0,0,Low Concern,Neutral
1907752981828665501,2025-04-03 11:12:09+00:00,top therapists neuroscientists dont treat anxiety meds teach patients retrain nervous syst,0,196,0,Low Concern,Negative
1907752970470482403,2025-04-03 11:12:07+00:00,youre man 97 stress money job talking,0,5,0,Low Concern,Negative
1907752969145114996,2025-04-03 11:12:06+00:00,kind words pastors discourage patients taking prescribed medication mental health diagnoses,0,3,0,Low Concern,Positive
1907752969048916388,2025-04-03 11:12:06+00:00,wish draw attention recent decision national pharmaceutical pricing authority nppa allowing 50,0,36,0,High-Risk,Positive
1907752967249273144,2025-04-03 11:12:06+00:00,babe u cant pull separation anxiety,0,511,0,Moderate Concern,Positive
1907752963889639674,2025-04-03 11:12:05+00:00,book leading addiction specialist offers clear accessible guidance parents difficult topic limited time use code jones2024 20,0,0,0,Low Concern,Negative
1907752961490796822,2025-04-03 11:12:05+00:00,past 2 months devasteting body mental health triying bounce back tho said,0,440,0,Low Concern,Neutral
1907752959045222768,2025-04-03 11:12:04+00:00,suicidal want disappear awhile,0,126,0,High-Risk,Negative
1907752957879193901,2025-04-03 11:12:04+00:00,adulting dealing anxiety heartbreaks family issues career stress pretend like,0,7403,0,Moderate Concern,Negative
1907752957522624736,2025-04-03 11:12:04+00:00,born purva ashadha nakshatra past karma unstoppable force overwhelmed others present push forward powerfully sometimes steamroll people root cause thinking gentleness equals weakness lesson true influence flows like water strong yet adaptable,0,0,0,Low Concern,Positive
1907752956855816291,2025-04-03 11:12:03+00:00,seriously crazy dude yuchen zihao want hu yetao 1 rank much stress level vote yetao,0,1,0,Low Concern,Negative
1907752952615547338,2025-04-03 11:12:02+00:00,fasting strongest medicine earth fights inflammation detoxifies body burns excess fat effort,0,1313,0,High-Risk,Positive
1907752949398245828,2025-04-03 11:12:02+00:00,hi rarely ever id hate bother pls take time read ive overwhelmed everythin,0,23,0,Moderate Concern,Positive
1907752937171882236,2025-04-03 11:11:59+00:00,see lagos traffic mental health citizens craze,0,85,0,Low Concern,Negative
1907752934936322237,2025-04-03 11:11:58+00:00,joe biden sanctioned invasion united states approximately 20 million illegal aliens country,0,27784,0,High-Risk,Negative
1907752929081307576,2025-04-03 11:11:57+00:00,trump tariffs pile stress ailing world economy reuters,0,0,0,Moderate Concern,Negative
1907752928989024562,2025-04-03 11:11:57+00:00,pure shock amp stress hoshis face found born 08,0,827,0,Low Concern,Negative
1907752928695165192,2025-04-03 11:11:57+00:00,tas mental physical health top priority lot plate right im truly sad even lost,0,42,0,Low Concern,Negative
1907752928087302269,2025-04-03 11:11:57+00:00,humans get stuck trauma wild animals recover naturally 1970s dr peter levine noticed somethin,0,1268,0,Low Concern,Negative
1907752927206277331,2025-04-03 11:11:56+00:00,angry tariffs giant hit retirement investments taking lo stress test morning hahahahaha,0,0,0,Low Concern,Negative
1907752927101329435,2025-04-03 11:11:56+00:00,understand congress passive hence suicidal,0,0,0,High-Risk,Negative
1907752922714124697,2025-04-03 11:11:55+00:00,another poor man beaten raj thackerays goons speaking marathi time bank employee morons hid,0,1302,0,High-Risk,Negative
1907752915470561686,2025-04-03 11:11:54+00:00,called diversity baby idolo learning iyoo yes aguero said una go work tire una go chop side omo iyoo cartels dey enjoy without stress,0,0,0,Moderate Concern,Positive
